THSCODE;DESCRIPT;LANG
FRUDITOT;Frukt- och bärrätter;SV
FRUFRESH;Färsk frukt;SV
FRUBSAL;Frukt- och bärsallad;SV
BERFRESH;Färska bär;SV
FRUBSOUP;Kräm, soppor;SV
FRUBPAST;Bärpajer;SV
FRUBJUIC;Juicer;SV
JAM;Sylt, marmelad;SV
VEGDITOT;Vegetariska rätter;SV
VEGFRESH;Färska grönsaker;SV
VEGPOT;Kokta grönsaker;SV
VEGDISH;Vegetariska huvudrätter;SV
VEGCASS;Grönsakslådor;SV
VEGSOUP;Grönsakssoppor;SV
MUSHRDI;Svamprätter;SV
VEGCANN;Grönsakskonserver;SV
VEGJUICE;Grönsaksjuice;SV
SALADTOT;Sallader;SV
SALADVEG;Grönsakssallader;SV
SALADMIX;Kombinerade sallader;SV
POTATOT;Potatis;SV
POTACOOK;Kokt potatis;SV
POTADISH;Potatisrätter;SV
POTAFAT;Stekt potatis, gräddpotatis;SV
CEBAKTOT;Spannmål och bakverk;SV
BRMIX;Blandbröd, fullkornsbröd;SV
BRWHITE;Vetebröd ljust;SV
BRRYE;Rågbröd;SV
BUN;Kaffebröd;SV
BAKSWEET;Bakverk söta;SV
BISCUIT;Kex, småbröd;SV
BAKSALT;Bakverk salta;SV
SANDWICH;Smörgåsar och hamburger;SV
RICEADD;Ris;SV
PASTAADD;Pastarätter;SV
PORR;Gröt;SV
CERBRKF;Frukostspannmålsprodukter;SV
CERPR;Pajer m.m.;SV
PIZZA;Pizza;SV
MILKDTOT;Mjölkrätter;SV
MILKFF;Mjölkdrycker fettfria;SV
MILKLF;Mjölkdrycker <2%;SV
MILKHF;Mjölkdrycker >2 %;SV
SMILK;Surmjölk;SV
YOGHURT;Yoghurt;SV
MILKCURL;Fil;SV
CHEESHAR;Ost, hård;SV
CHEESOFT;Ost, smält- och färskost;SV
VEGCHEES;Ost med vegetabiliskt fett;SV
ICECREAM;Glass;SV
MILKPUDD;Mjölkdesserter;SV
MILKSAUC;Mjölksåser;SV
FATTOT;Fett och fettprodukter;SV
BRFBUTT;Brödfett smör eller mjölkfettblandning >60 %;SV
BRFMARG;Brödfett margarin och matfett >55 %;SV
BRFLOWF;Brödfett margarin, matfett och fettblandning <55 %;SV
DRESSING;Salladsdressing;SV
FATPROD;Övriga fetter;SV
FATSAUCE;Fettsåser;SV
EGGDISH;Äggrätter;SV
EGGS;Ägg;SV
EGGMIX;Äggrätter;SV
FISHDTOT;Fiskrätter;SV
FISH;Fisk;SV
FISHCASS;Fisklådor;SV
FISHSOUP;Fisksoppa;SV
FISHDOTH;Övriga fiskrätter;SV
FISHPROD;Fiskprodukt;SV
MEATDTOT;Kötträtter;SV
MSTEAK;Biffar, kotletter;SV
MINCMED;Köttfärsrätter;SV
MEATPOT;Köttgrytor;SV
MEATCASS;Köttlådor;SV
MEATSOUP;Köttsoppor;SV
POULTDI;Hönsrätter;SV
SAUSAGE;Kött- och korvpålägg;SV
SAUSDISH;Korvrätter;SV
OFFALDI;Inälvsrätter;SV
BEVTOT;Drycker;SV
COFFEE;Kaffe;SV
TEA;Te;SV
DRWATER;Vatten;SV
DRJUICE;Safter;SV
DRINKSO;Söta läskedrycker;SV
DRINKCO;Koffeinhaltiga läskedrycker;SV
DRINKART;Syntetiskt sötade drycker;SV
DRSPORT;Sportdrycker;SV
ALCTOT;Alkoholdrycker;SV
BEER;Öl;SV
WINE;Vin;SV
SPIRIT;Starksprit;SV
ALCOTH;Övriga alkoholdrycker;SV
SUGARTOT;Socker, sötsaker;SV
SUGADD;Socker, sirap;SV
SWEET;Sötsaker;SV
CHOCOL;Choklad;SV
MISCTOT;Diverse;SV
SPICES;Kryddor;SV
SNACK;Snacks;SV
SPISAUCE;Kryddsåser;SV
INGRMISC;Diverse födoämnen;SV
BABYFTOT;Barnmat;SV
BABMEATD;Baby kötträtt preparat;SV
BABFISHD;Baby fisk rätt;SV
BABMILPO;Baby barn gröt med mjölk;SV
BABWATPO;Baby barn gröt med vatten;SV
BABFRUB;Baby frukt- och bärprodukt;SV
BABVEGE;Baby barn grönsakspreparat;SV
BABMIFRU;Baby frukt med mjölk produkt;SV
BABOTHER;Barnmat ospecificerad;SV
MMILK;Modersmjölksersättning;SV
INFMILK;Vanliga modersmjölkersättningar och modersmjölk;SV
CASMILK;Kasein hydrolysater, modersmjölkersättningar;SV
PREMILK;Modersmjölkersättningar för prematurbarn;SV
SOYMILK;Sojabaserade modersmjölkersättningar;SV
WHEYMILK;Vassleprotein hydrolysater, modersmjölkersättningar;SV
AMINMILK;Aminosyrapreparat, modersmjölkersättningar;SV
SPECTOT;Näringspreparat;SV
SPECSUPP;Näringspreparat;SV
MEALREP;Måltidsersättningar;SV
SPECFOOD;Kliniska näringspreparat;SV
