FOODID;CONFDID;AMOUNT;FOODUNIT;MASS;EVREMAIN;RECYEAR
29;922;500,00;G;500,00;70;
29;38;11,00;G;11,00;100;
123;922;70,00;G;70,00;100;
123;119;30,00;G;30,00;100;
177;922;60,00;G;60,00;100;
177;158;40,00;G;40,00;100;
186;922;70,00;G;70,00;100;
186;172;30,00;G;30,00;100;
187;922;70,00;G;70,00;100;
187;117;29,50;G;29,50;100;
187;541;0,50;G;0,50;100;
188;922;70,00;G;70,00;100;
188;121;29,50;G;29,50;100;
188;541;0,50;G;0,50;100;
190;922;70,00;G;70,00;100;
190;173;30,00;G;30,00;100;
191;922;70,00;G;70,00;100;
191;173;29,50;G;29,50;100;
191;541;0,50;G;0,50;100;
313;300;30,00;G;30,00;100;
313;303;30,00;G;30,00;100;
313;337;20,00;G;20,00;100;
313;311;20,00;G;20,00;100;
356;300;45,00;G;45,00;100;
356;370;30,00;G;30,00;100;
356;322;15,00;G;15,00;100;
356;372;10,00;G;10,00;100;
396;370;34,00;G;34,00;100;2006
396;363;33,00;G;33,00;100;2006
396;355;33,00;G;33,00;100;2006
427;11063;50,00;G;50,00;100;
427;409;30,00;G;30,00;100;
427;401;20,00;G;20,00;100;
436;434;65,00;G;65,00;100;2006
436;433;35,00;G;35,00;100;2006
454;447;37,00;G;37,00;100;
454;440;19,00;G;19,00;100;
454;444;18,00;G;18,00;100;
454;445;15,00;G;15,00;100;
454;442;11,00;G;11,00;100;
943;434;64,00;G;64,00;100;
943;905;36,00;G;36,00;100;
944;900;61,00;G;61,00;100;
944;907;25,00;G;25,00;100;
944;29066;9,00;G;9,00;100;
944;1;5,00;G;5,00;100;
945;904;75,00;G;75,00;82;
945;922;35,00;G;35,00;82;
945;1;8,00;G;8,00;100;
947;390;64,00;G;64,00;100;
947;906;32,00;G;32,00;100;
947;11557;4,00;G;4,00;100;
947;30;1,00;G;1,00;100;
948;928;88,00;G;88,00;100;
948;907;12,00;G;12,00;100;
949;434;88,00;G;88,00;100;
949;906;12,00;G;12,00;100;
950;29501;88,00;G;88,00;100;
950;907;12,00;G;12,00;100;
951;921;75,00;G;75,00;100;
951;907;15,00;G;15,00;100;
951;11557;7,00;G;7,00;100;
