THSCODE;DESCRIPT;LANG
ENERC;energy,calculated;EN
XENERC;energia, calculated without fibre;EN
CHOAVL;carbohydrate, available;EN
CHOCDF;carbohydrate, difference;EN
CHOAVLM;carbohydrate, monosaccharide equivalents;EN
FAT;fat, total;EN
PROT;protein, total;EN
ALC;alcohol;EN
ASH;ash (minerals);EN
WATER;water (moisture);EN
FIBC;fibre, total;EN
OA;organic acids, total;EN
SUGOH;sugar alcohols;EN
STARCH;starch, total;EN
STARES;starch, resistant;EN
SUGAR;sugars, total;EN
FRUS;fructose;EN
GALS;galactose;EN
GLUS;glucose;EN
LACS;lactose;EN
MALS;maltose;EN
SUCS;sucrose;EN
OLSAC;oligosaccharides, available;EN
FIBT;fibre, total dietary;EN
PSACNCS;polysaccharides, non-cellulosic, water-soluble;EN
FIBINS;fibre, water-insoluble;EN
CELLU;cellulose;EN
LIGN;lignin;EN
PSACNCI;polysaccharides, non-cellulosic, water-insoluble;EN
AGAR;agar;EN
GLUCNB;beta-glucan;EN
GUMS;gums;EN
PECT;pectin;EN
ACEAC;acetic acid;EN
BENZAC;p-hydroxybenzoic acid;EN
CINNAC;cinnamic acid;EN
CITAC;citric acid;EN
FERAC;ferulic acid;EN
GALLAC;gallic acid;EN
LACAC;lactic acid;EN
MALAC;malic acid;EN
MISPHEAC;other phenolic acids;EN
PARCOUM;paracoumaric acid;EN
PHEAC;phenolic acids, total;EN
PROCATAC;protocatechuic acid;EN
SINAPAC;sinapic acid;EN
SYRAC;syringic acid;EN
VANAC;vanillic acid;EN
SORTL;sorbitol;EN
XYLTL;xylitol;EN
BIOT;biotin (vitamin H);EN
FOL;folate, total;EN
FOLCH3H4;5-CH3-H4-folate;EN
FOLFRE;folate, free;EN
FOLH4;H4-folate;EN
FOLHCOH4;5-HCO-H4-folate;EN
FOL10HCO;10-HCO-folic acid;EN
FOLATE;folate (microbiological assay);EN
NIAEQ;niacin equivalents, total;EN
NIA;niacin, preformed (nicotinic acid + nicotinamide);EN
PANTAC;pantothenic acid (vitamin B5);EN
VITPYRID;vitamers pyridoxine (hydrochloride);EN
PYRID;pyridoxine vitamers;EN
PYRXL;pyridoxal;EN
PYRXM;pyridoxamin;EN
PYRXN;pyridoxin;EN
RIBF;riboflavine;EN
THIA;thiamin (vitamin B1);EN
VITB12;vitamin B-12 (cobalamin);EN
VITC;vitamin C (ascorbic acid);EN
VITA;vitamin A  retinol activity equivalents;EN
XVITA;vitamin A  retinol equivalents;EN
RETOL;retinol;EN
RETOL13;13-cis retinol;EN
RETOLDH;dehyroretinol;EN
RETTRANS;all-trans-retinol;EN
RET11CIS;cis-11-retinol;EN
RET911;dicis-911-retinol;EN
RET9CIS;cis-9-retinol;EN
CARTBEQ;beta-carotene equivalents (provitamin A carotenoids);EN
CAROTENS;carotenoids, total;EN
CARTA;alpha-carotene;EN
CARTB;beta-carotene;EN
CARTG;gamma-carotene;EN
CRYPX;cryptoxanthin;EN
CANTHAX;canthaxanthine;EN
CAPSA;capsanthine;EN
LUTEZEAX;lutein plus zeaxanthine;EN
LYCO;lycopene;EN
BETACAR;all-trans beta-carotene;EN
ZEAX;zeaxanthine;EN
LUTE;lutein;EN
VITD;vitamin D;EN
CAL25OH;25-hydroxycholecalciferol;EN
VITE;vitamin E  alphatocopherol;EN
XVITE;vitamin E  alpha-tocopherol equivalents;EN
TOCPHA;alpha-tocopherol;EN
TOCPHB;beta-tocopherol;EN
TOCPHD;delta-tocopherol;EN
TOCPHG;gamma-tocopherol;EN
TOCTRA;alpha-tocotrienol;EN
TOCTRB;beta-tocotrienol;EN
TOCTRG;gamma-tocotrienol;EN
TOCTRD;delta-tocotrienol;EN
VITK;vitamin K, total;EN
MENAQ;menaquinone;EN
PHYLQ;phylloquinone;EN
MENADN;menadione;EN
AL;aluminium;EN
AS;arsenic;EN
B;boron;EN
BRD;bromide;EN
CA;calcium;EN
CD;cadmium;EN
CLD;chloride (chlorine);EN
CO;cobalt;EN
CR;chromium;EN
CU;copper;EN
FD;fluoride (fluorine);EN
FE;iron, total;EN
HG;mercury;EN
ID;iodide (iodine);EN
K;potassium;EN
MG;magnesium;EN
MN;manganese;EN
MO;molybdenum;EN
NA;sodium;EN
NACL;salt;EN
NI;nickel;EN
NT;nitrogen, total;EN
P;phosphorus;EN
PB;lead;EN
RB;rubidium;EN
S;sulphur;EN
SE;selenium, total;EN
SI;silicon;EN
SR;strontium;EN
ZN;zinc;EN
FAFRE;fatty acids, total;EN
FACIDCTG;fatty acids, total, calculated as TAG equivalents;EN
FAPU;fatty acids, total polyunsaturated;EN
FAMCIS;fatty acids, total monounsaturated cis;EN
FASAT;fatty acids, total saturated;EN
FATRN;fatty acids, total trans;EN
FAUN;fatty acid unidentified;EN
FAPUN3;fatty acids, total n-3 polyunsaturated;EN
FAPUN3FI;fatty acids, total polyunsaturated n-3 fish;EN
FAPUN3VE;fatty acids, total polyunsaturated n-3 vegetable;EN
FAPUN6;fatty acids, total n-6 polyunsaturated;EN
FAS4T11;fatty acids 4:0-11:0;EN
FAS12T17;fatty acids 12:0-17:0;EN
FAS18;fatty acid isomers 18:0;EN
FAS19T26;fatty acids 19:0-26:0;EN
F4D0;fatty acid 4:0 (butyric acid);EN
F6D0;fatty acid 6:0 (caproic acid);EN
F8D0;fatty acid 8:0 (caprylic acid);EN
F10D0;fatty acid 10:0 (capric acid);EN
F12D0;fatty acid 12:0 (lauric acid);EN
F13D0;fatty acid 13:0 (tridecanoic acid);EN
F14D0T;fatty acid isomers 14:0;EN
F14D0;fatty acid 14:0 (myristic acid);EN
F14D0AI;fatty acid 14:0 anteiso;EN
F14D0I;fatty acid 14:0 iso;EN
F15D0T;fatty acid isomers 15:0;EN
F15D0;fatty acid 15:0 (pentadecylic acid);EN
F15D0AI;fatty acid 15:0 anteiso;EN
F15D0I;fatty acid 15:0 iso;EN
F16D0T;fatty acid isomers 16:0;EN
F16D0;fatty acid 16:0 (palmitic acid);EN
F16D0AI;fatty acid 16:0 anteiso;EN
F16D0I;fatty acid 16:0 iso;EN
F17D0T;fatty acid isomers 17:0;EN
F17D0;fatty acid 17:0 (margaric acid);EN
F17D0AI;fatty acid 17:0 anteiso;EN
F17D0I;fatty acid 17:0 iso;EN
F18D0;fatty acid 18:0 (stearic acid);EN
F18D0AI;fatty acid 18:0 anteiso;EN
F18D0I;fatty acid 18:0 iso;EN
F19D0;fatty acid 19:0;EN
F20D0T;fatty acid isomers 20:0;EN
F20D0;fatty acid 20:0 (arachidic acid);EN
