THSCODE;DESCRIPT;LANG
ENERC;energia, laskennallinen;FI
XENERC;energia, laskennallinen ilman kuitua;FI
CHOAVL;hiilihydraatti imeytyvä;FI
CHOCDF;hiilihydraatti erotuksena;FI
CHOAVLM;hiilihydraatti monosakkaridiekvivalentteina;FI
FAT;rasva;FI
PROT;proteiini;FI
ALC;alkoholi;FI
ASH;tuhka (kivennäisaineet);FI
WATER;vesi (kosteus);FI
FIBC;kuitu, kokonais-;FI
OA;orgaaniset hapot;FI
SUGOH;sokerialkoholi;FI
STARCH;tärkkelys;FI
STARES;tärkkelys resistentti;FI
SUGAR;sokerit;FI
FRUS;fruktoosi;FI
GALS;galaktoosi;FI
GLUS;glukoosi;FI
LACS;laktoosi;FI
MALS;maltoosi;FI
SUCS;sakkaroosi;FI
OLSAC;oligosakkaridit imeytyvät;FI
FIBT;kuitu yhteissumma;FI
PSACNCS;polysakkaridi, vesiliukoinen ei-selluloosa;FI
FIBINS;kuitu veteen liukenematon;FI
CELLU;selluloosa;FI
LIGN;ligniini;FI
PSACNCI;polysakkaridi, liukenematon ei-selluloosa;FI
AGAR;agar;FI
GLUCNB;beetaglukaani;FI
GUMS;kumit;FI
PECT;pektiini;FI
ACEAC;etikkahappo;FI
BENZAC;p-hydroksibentsoehappo;FI
CINNAC;kanelihappo;FI
CITAC;sitruunahappo;FI
FERAC;ferulahappo;FI
GALLAC;gallihappo;FI
LACAC;maitohappo;FI
MALAC;omenahappo;FI
MISPHEAC;muut fenolihapot;FI
PARCOUM;parakumariinihappo;FI
PHEAC;fenolihapot, yhteensä;FI
PROCATAC;protokatekuhappo;FI
SINAPAC;sinapiinihappo;FI
SYRAC;syringiinihappo;FI
VANAC;vanilliinihappo;FI
SORTL;sorbitoli;FI
XYLTL;ksylitoli;FI
BIOT;biotiini;FI
FOL;folaatti, kokonais-;FI
FOLCH3H4;5-metyylitetrahydrofolaatti eli 5-CH3-H4-folaatti;FI
FOLFRE;folaatti vapaa;FI
FOLH4;tetrahydrofolaatti eli H4-folaatti;FI
FOLHCOH4;5-formyylitetrahydrofolaatti eli 5-HCO-H4-folaatti;FI
FOL10HCO;10-formyylifoolihappo eli 10-HCO-foolihappo;FI
FOLATE;folaatti (mikrobiologinen menetelmä);FI
NIAEQ;niasiiniekvivalentti NE;FI
NIA;niasiini (nikotiinihappo + nikotiiniamidi);FI
PANTAC;pantoteenihappo (B5);FI
VITPYRID;pyridoksiini vitameerit (vetykloridi) (B6);FI
PYRID;pyridoksiini vitameerit (B6);FI
PYRXL;pyridoksaali;FI
PYRXM;pyridoksamiini;FI
PYRXN;pyridoksiini;FI
RIBF;riboflaviini (B2);FI
THIA;tiamiini (B1);FI
VITB12;B12-vitamiini (kobalamiini);FI
VITC;C-vitamiini;FI
VITA;A-vitamiini RAE;FI
XVITA;A-vitamiini RE;FI
RETOL;retinoli;FI
RETOL13;13-cis retinoli;FI
RETOLDH;dehydroretinoli;FI
RETTRANS;all-trans-retinoli;FI
RET11CIS;cis-11-retinoli;FI
RET911;dicis-911-retinoli;FI
RET9CIS;cis-9-retinoli;FI
CARTBEQ;beetakaroteeniekvivalentti;FI
CAROTENS;karotenoidit;FI
CARTA;alfakaroteeni;FI
CARTB;beetakaroteeni;FI
CARTG;gammakaroteeni;FI
CRYPX;kryptoksantiini;FI
CANTHAX;kantaksantiini;FI
CAPSA;kapsantiini;FI
LUTEZEAX;luteiini ja zeaksantiini;FI
LYCO;lykopeeni;FI
BETACAR;all-trans-beetakaroteeni;FI
ZEAX;zeaksantiini;FI
LUTE;luteiini;FI
VITD;D-vitamiini;FI
CAL25OH;25-hydroksikalsiferoli;FI
VITE;E-vitamiini alfatokoferoli;FI
XVITE;E-vitamiini alfatokoferoliekvivalentti;FI
TOCPHA;alfatokoferoli;FI
TOCPHB;beetatokoferoli;FI
TOCPHD;deltatokoferoli;FI
TOCPHG;gammatokoferoli;FI
TOCTRA;alfatokotrienoli;FI
TOCTRB;beetatokotrienoli;FI
TOCTRG;gammatokotrienoli;FI
TOCTRD;deltatokotrienoli;FI
VITK;K-vitamiini;FI
MENAQ;menakinoni;FI
PHYLQ;fyllokinoni;FI
MENADN;menadioni;FI
AL;alumiini;FI
AS;arseeni;FI
B;boori;FI
BRD;bromidi;FI
CA;kalsium;FI
CD;kadmium;FI
CLD;kloridi;FI
CO;koboltti;FI
CR;kromi;FI
CU;kupari;FI
FD;fluoridi;FI
FE;rauta;FI
HG;elohopea;FI
ID;jodidi (jodi);FI
K;kalium;FI
MG;magnesium;FI
MN;mangaani;FI
MO;molybdeeni;FI
NA;natrium;FI
NACL;suola;FI
NI;nikkeli;FI
NT;typpi, yhteensä;FI
P;fosfori;FI
PB;lyijy;FI
RB;rubidium;FI
S;rikki;FI
SE;seleeni;FI
SI;pii;FI
SR;strontium;FI
ZN;sinkki;FI
FAFRE;rasvahapot yhteensä;FI
FACIDCTG;rasvahapot yhteensä, laskettu TAG ekvivalenteiksi;FI
FAPU;rasvahapot monityydyttymättömät;FI
FAMCIS;rasvahapot yksittäistyydyttymättömät cis;FI
FASAT;rasvahapot tyydyttyneet;FI
FATRN;rasvahapot trans;FI
FAUN;rasvahapot tuntemattomat;FI
FAPUN3;rasvahapot n-3 monityydyttymättömät;FI
FAPUN3FI;rasvahapot n-3 kala;FI
FAPUN3VE;rasvahapot n-3 kasvi;FI
FAPUN6;rasvahapot n-6 monityydyttymättömät;FI
FAS4T11;rasvahapot 4:0 - 11:0;FI
FAS12T17;rasvahapot 12:0 - 17:0;FI
FAS18;rasvahappoisomeerit 18:0;FI
FAS19T26;rasvahapot 19:0 - 26:0;FI
F4D0;rasvahappo 4:0 (voihappo);FI
F6D0;rasvahappo 6:0 (kaproiinihappo);FI
F8D0;rasvahappo 8:0 (kapryylihappo);FI
F10D0;rasvahappo 10:0 (kapriinihappo);FI
F12D0;rasvahappo 12:0 (lauriinihappo);FI
F13D0;rasvahappo 13:0;FI
F14D0T;rasvahappoisomeerit 14:0;FI
F14D0;rasvahappo 14:0 (myristiinihappo);FI
F14D0AI;rasvahappo 14:0 anteiso;FI
F14D0I;rasvahappo 14:0 iso;FI
F15D0T;rasvahappoisomeerit 15:0;FI
F15D0;rasvahappo 15:0;FI
F15D0AI;rasvahappo 15:0 anteiso;FI
F15D0I;rasvahapo 15:0 iso;FI
F16D0T;rasvahappoisomeerit 16:0;FI
F16D0;rasvahappo 16:0 (palmitiinihappo);FI
F16D0AI;rasvahappo 16:0 anteiso;FI
F16D0I;rasvahappo 16:0 iso;FI
F17D0T;rasvahappoisomeerit 17:0;FI
F17D0;rasvahappo 17:0;FI
F17D0AI;rasvahappo 17:0 anteiso;FI
F17D0I;rasvahappo 17:0 iso;FI
F18D0;rasvahappo 18:0 (steariinihappo);FI
F18D0AI;rasvahappo 18:0 anteiso;FI
F18D0I;rasvahappo 18:0 iso;FI
F19D0;rasvahappo 19:0;FI
F20D0T;rasvahappoisomeerit 20:0;FI
F20D0;rasvahappo 20:0;FI
F20D0I;rasvahappo 20:0 iso;FI
F22D0;rasvahappo 22:0;FI
F24D0;rasvahappo 24:0;FI
F26D0;rasvahappo 26:0;FI
F10D1;rasvahappo 10:1;FI
F12D1;rasvahappo 12:1;FI
F14D1;rasvahappo 14:1;FI
F15D1;rasvahappo 15:1;FI
F16D1T;rasvahappoisomeerit 16:1;FI
F16D1I;rasvahappo 16:1 iso;FI
F16D1N5;rasvahappo 16:1 n-5;FI
F16D1N7;rasvahappo 16:1 n-7;FI
F16D1N9;rasvahappo 16:1 n-9;FI
F17D1;rasvahappo 17:1;FI
F17D1CIS;rasvahappo 17:1 cis;FI
F18D1T;rasvahappoisomeerit 18:1;FI
F18D1CIS;rasvahappo 18:1 cis;FI
F18D1N5;rasvahappo 18:1 n-5;FI
F18D1N7;rasvahappo 18:1 n-7;FI
F18D1N9;rasvahappo 18:1 n-9;FI
F18D1I;rasvahappo 18:1 iso;FI
F20D1T;rasvahappoisomeerit 20:1;FI
F20D1;rasvahappo 20:1;FI
F20D1CIS;rasvahappo 20:1 cis;FI
