THSCODE;DESCRIPT;LANG
ENERC;energi, beräknad;SV
XENERC;energi, beräknad utan fiber;SV
CHOAVL;kolhydrater, digererbara;SV
CHOCDF;kolhydrater, differensmetod;SV
CHOAVLM;kolhydrater, monosackaridekvivalenter;SV
FAT;fett, totalt;SV
PROT;protein, totalt;SV
ALC;alkohol;SV
ASH;aska (mineralämnen);SV
WATER;vatten (fuktighet);SV
FIBC;fiber, totalt;SV
OA;organiska syror, totalt;SV
SUGOH;sockeralkoholer;SV
STARCH;stärkelse, totalt;SV
STARES;stärkelse, resistent;SV
SUGAR;sockerarter, totalt;SV
FRUS;fruktos;SV
GALS;galaktos;SV
GLUS;glukos;SV
LACS;laktos;SV
MALS;maltos;SV
SUCS;sackaros;SV
OLSAC;oligosackarider;SV
FIBT;fiber, totalt;SV
PSACNCS;polysackarider, icke-cellulosa, lösliga;SV
FIBINS;fiber, olöslig;SV
CELLU;cellulosa;SV
LIGN;lignin;SV
PSACNCI;polysackarider, icke-cellulosa, olösliga;SV
AGAR;agar;SV
GLUCNB;beta-glukan;SV
GUMS;gummi;SV
PECT;pektin;SV
ACEAC;ättiksyra;SV
BENZAC;p-hydroxibensoesyra;SV
CINNAC;kanelsyra;SV
CITAC;citronsyra;SV
FERAC;ferulasyra;SV
GALLAC;gallinsyra;SV
LACAC;mjölksyra;SV
MALAC;äppelsyra;SV
MISPHEAC;andra fenolsyror;SV
PARCOUM;parakumarsyra;SV
PHEAC;fenolsyror, totalt;SV
PROCATAC;protokatekusyra;SV
SINAPAC;sinapinsyra;SV
SYRAC;syringinsyra;SV
VANAC;vanillinsyra;SV
SORTL;sorbitol;SV
XYLTL;xylitol;SV
BIOT;biotin;SV
FOL;folat, total;SV
FOLCH3H4;5-CH3-H4-folat;SV
FOLFRE;folat, fri;SV
FOLH4;H4-folat;SV
FOLHCOH4;5-HCO-H4-folat;SV
FOL10HCO;10-HCO-folsyra;SV
FOLATE;folat (mikrobiologisk);SV
NIAEQ;niacinekvivalenter;SV
NIA;niacin (nikotinsyra+nikotinamid);SV
PANTAC;pantotensyra (vitamin B5);SV
VITPYRID;pyridoxin vitamerer (hydroklorid);SV
PYRID;pyridoxin vitamerer;SV
PYRXL;pyridoxal;SV
PYRXM;pyridoxamin;SV
PYRXN;pyridoxin;SV
RIBF;riboflavin;SV
THIA;tiamin (vitamin B1);SV
VITB12;vitamin B12 (kobalamin);SV
VITC;vitamin C (askorbinsyra);SV
VITA;vitamin A RAE;SV
XVITA;vitamin A, retinolekvivalenter;SV
RETOL;retinol;SV
RETOL13;13-cis-retinol;SV
RETOLDH;dehydroretinol;SV
RETTRANS;all-trans-retinol;SV
RET11CIS;cis-11-retinol;SV
