FOODID;FOODNAME;LANG
1;Sugar;EN
2;Fructose;EN
3;Syrup;EN
4;Honey;EN
5;Sweet, candy;EN
6;Chocolate, average;EN
7;Chocolate confection filled with marmalade;EN
8;Liquorice, licorice;EN
9;Jelly candy, fruit jelly;EN
10;Marzipan, almond paste;EN
11;Toffee;EN
12;Salty liqourice pastille;EN
14;Chocolate bar, average;EN
20;Cocoa powder, unsweetened;EN
21;Cocoa powder with sugar;EN
24;Sorbitol;EN
25;Gelatin;EN
26;Baking yeast, fresh;EN
27;Flour, cornstarch, cornflour;EN
28;Mustard;EN
29;Meat bouillon;EN
30;Salt, iodised;EN
31;Soy sauce;EN
32;Chocolate, plain, dark chocolate;EN
33;Chocolate, milk chocolate;EN
34;Halva made with sesame seeds and sugar;EN
35;Sweet, candy, sugar-free;EN
36;Salt, low sodium;EN
37;Chocolate, artificially sweetened;EN
38;Meat bouillon powder/cube;EN
39;Sweetener, aspartam, powder;EN
40;Cereal bar with fibre;EN
43;Rye malt;EN
44;Chocolate bar with filling, average;EN
62;Pastille sweetened with xylitol;EN
63;Chocolate bar, low-fat;EN
65;Chewing gum, xylitol sweetened;EN
66;Chewing gum;EN
68;Barley starch;EN
69;Fruit pastille with gum arabic;EN
70;Sweetener, saccharin;EN
73;Raisin or dried fruit coated with yoghurt;EN
74;Baking powder;EN
75;Fish stock broth;EN
79;Salt, rock salt, without iodine;EN
100;Flour, rye, wholegrain rye flour;EN
103;Rye flakes;EN
110;Flour, wheat flour, semi-coarse;EN
111;Flour, whole wheat flour, graham flour;EN
112;Semolina;EN
113;Semolina, whole wheat;EN
114;Wheat flakes;EN
115;Wheat germ;EN
116;Wheat bran;EN
117;Macaroni, pasta;EN
119;Macaroni, whole wheat;EN
120;Noodle, wheat;EN
121;Pasta, spaghetti, macaroni;EN
123;Macaroni, dark, boiled without salt;EN
124;Flour, dark wheat flour;EN
125;Flour mixture, for bread rolls, wheat flour, wheat groats, rye;EN
126;Flour, breadcrumbs;EN
133;Wafer, ice cream cone;EN
142;Flour, wheat flour, semi-coarse, bakery industry, fresh;EN
150;Flour, barley flour;EN
151;Barley, pearl;EN
152;Barley, rolled, barley flakes;EN
153;Oats, rolled, oat flakes;EN
154;Flour mixture, talkkuna powder, roasted barley, rye, oat, pea;EN
156;Rice, white;EN
158;Rice, wholegrain;EN
160;Flour, millet, whole or crushed grains;EN
161;Flour, buckwheat, whole or crushed grains;EN
162;Flour, potato starch, potato flour;EN
163;Breakfast cereal, corn flakes;EN
167;Maize, kernel, dried, unpopped;EN
168;Malt for beer;EN
170;Oat bran;EN
172;Spaghetti spinach, contains egg;EN
173;Oat macaroni, contains wheat and oats;EN
175;Wheat grain, crushed;EN
176;Rye grain, crushed;EN
177;Rice, natural rice, mixed rice and wild rice, boiled without salt;EN
182;Flour, rice flour, rice flake;EN
183;Flour, rice flour, whole grain;EN
184;Tortilla chips, taco shell;EN
185;Flour mixture, gluten-free, contains wheat starch;EN
186;Pasta, spaghetti, spinach, boiled without salt;EN
187;Macaroni, boiled, oil;EN
188;Pasta, spaghetti, boiled, oil, without salt;EN
189;Flour mixture, rye, wheat;EN
190;Oat macaroni, boiled, no added salt;EN
191;Oat macaroni, boiled, added oil;EN
202;Potato, dried;EN
203;Potato crisps, potato chips, potato snack;EN
204;Potato, new;EN
205;Potato, peeled;EN
206;Mashed potato powder;EN
