FOODID;FOODNAME;LANG
100;Secale cereale;TX
103;Secale cereale;TX
110;Triticum spp.;TX
111;Triticum spp.;TX
112;Triticum spp.;TX
113;Triticum spp.;TX
114;Triticum spp.;TX
115;Triticum spp.;TX
116;Triticum spp.;TX
124;Triticum spp.;TX
142;Triticum spp.;TX
150;Hordeum vulgare;TX
151;Hordeum vulgare;TX
152;Hordeum vulgare;TX
153;Avena sativa;TX
156;Oryza sativa;TX
158;Oryza sativa;TX
160;Panicum miliaceum;TX
161;Fagopyrum esculentum;TX
162;Solanum tuberosum;TX
167;Zea mays;TX
170;Avena sativa;TX
175;Triticum spp.;TX
176;Secale cereale;TX
182;Oryza sativa;TX
183;Oryza sativa;TX
202;Solanum tuberosum;TX
204;Solanum tuberosum;TX
205;Solanum tuberosum;TX
207;Solanum tuberosum;TX
300;Daucus carota;TX
302;Daucus carota;TX
303;Brassica napus var. napobrassica;TX
304;Brassica rapa;TX
305;Beta vulgaris;TX
307;Beta vulgaris;TX
308;Raphanus sativus var. sativus;TX
309;Pastinaca sativa;TX
310;Helianthus tuberosus;TX
311;Apium graveolens var. rapaceum;TX
312;Scorzonera hispanica;TX
320;Brassica oleracea var. capitata f. alba;TX
321;Brassica oleracea var. capitata "f. rubra";TX
322;Brassica oleracea var. botrytis;TX
324;Brassica oleracea var. italica;TX
326;Brassica oleracea var. sabellica;TX
327;Brassica oleracea var. gemmifera;TX
329;Brassica oleracea var. gongylodes;TX
330;Lactuca sativa var. crispa;TX
331;Lactuca sativa var. capitata;TX
333;Petroselinum crispum;TX
334;Urtica dioica;TX
335;Allium cepa;TX
336;Allium cepa;TX
337;Allium porrum;TX
338;Rheum;TX
339;Apium graveolens;TX
340;Asparagus officinalis l.;TX
342;Boletus edulis, russula paludosa;TX
343;Lactarius (trivialis/rufus/torminusus);TX
345;Agaricus bisporus;TX
346;Cucumis sativus;TX
347;Cucumis sativus;TX
348;Cucumis sativus;TX
350;Cucurbita pepo;TX
351;Cucurbita pepo;TX
352;Lycopersicon esculentum;TX
355;Capsicum annuum;TX
359;Brassica pekinensis;TX
360;Beta vulgaris var. vulgaris;TX
362;Solanum melongena;TX
363;Zea mays;TX
364;Lepidium sativum;TX
367;Cantharellus cibarius;TX
368;Gyromitra esculenta;TX
369;Anethum graveolens;TX
370;Pisum sativum;TX
371;Pisum sativum;TX
372;Phaseolus vulgaris;TX
373;Phaseolus vulgaris;TX
375;Corylus avellana;TX
376;Juglans regia;TX
377;Castanea sativa;TX
378;Arachis hypogaea;TX
379;Prunus amygdalus;TX
380;Glysine max;TX
381;Glysine max;TX
382;Cocos nucifera;TX
383;Arachis hypogaea;TX
384;Medicago sativa, vigna mungo;TX
385;Sesamum indicum;TX
386;Capsicum annuum;TX
387;Capsicum annuum;TX
388;Capsicum annuum;TX
389;Cucurbita pepo;TX
390;Lycopersicon esculentum;TX
391;Glysine max;TX
