THSCODE;DESCRIPT;LANG
A;analyyttiset tulokset;FI
AG;analysoitu;FI
CG;laskennallinen;FI
D;analysoiduista tuloksista summaamalla johdettu;FI
E;muu arvon tyyppi;FI
G;laskettu aggregoimalla elintarvikkeita;FI
I;johdettu samankaltaisesta elintarvikkeesta;FI
IG;johdettu;FI
K;laskettu samankaltaisesta elintarvikkeesta;FI
L;johdettu lainsäädännön mukaan;FI
O;johdettu toisesta elintarvikkeesta;FI
P;laskettu koostumustiedoista;FI
R;laskettu reseptistä;FI
S;summattu osatekijöistä;FI
T;laskettu kertoimilla;FI
U;loogisesti arvioitu;FI
X;ei tiedossa;FI
