THSCODE;DESCRIPT;LANG
A;analytiska resultat;SV
AG;analyserat;SV
CG;beräknat;SV
D;överfört genom summering av analyserade resultat;SV
E;annan typ av värde;SV
G;beräknat genom aggregering av livsmedel;SV
I;överfört av liknande livsmedel;SV
IG;överfört;SV
K;beräknat av liknande livsmedel;SV
L;överfört enligt lagstiftning;SV
O;överfört av annat livsmedel;SV
P;beräknat på basis av sammansättning;SV
R;beräknat på råvarorna med hjälp av receptet;SV
S;summerat av delfaktorer;SV
T;beräknat med koefficienter;SV
U;estimerad;SV
X;inga uppgifter;SV
